"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"S.J","2016-2017",81,3960.88,3836,3641,195,51.3,58.11,55.15,150,133,17,53,2.27,2.01,162.81,147.22,15.59,52.51,2.47,2.23,215,234,19,7.85,92.45,100.3
"S.J","2017-2018",82,3993.35,4045,3918,127,50.8,60.78,58.87,156,164,-8,48.75,2.34,2.46,170.45,157.83,12.62,51.92,2.56,2.37,200,223,23,7.5,91.64,99.13
"S.J","2018-2019",82,3980.35,4123,3381,742,54.94,62.15,50.97,193,183,10,51.33,2.91,2.76,181.9,152.72,29.18,54.36,2.74,2.3,245,244,-1,9.09,89.74,98.82
"STL","2007-2008",81,3561.24,2703,2999,-296,47.4,45.54,50.53,134,141,-7,48.73,2.26,2.38,116.6,126.3,-9.7,48,1.96,2.13,350,348,-2,8.55,91.18,99.73
"STL","2008-2009",82,3611.34,2899,3147,-248,47.95,48.16,52.29,130,138,-8,48.51,2.16,2.29,120.99,123.77,-2.78,49.43,2.01,2.06,371,364,-7,8.02,91.73,99.76
"STL","2009-2010",82,3664.08,3285,3176,109,50.84,53.79,52.01,142,143,-1,49.82,2.33,2.34,132.87,134.98,-2.11,49.61,2.18,2.21,403,357,-46,7.94,91.88,99.83
"STL","2010-2011",82,3890.42,3643,3328,315,52.26,56.18,51.33,162,159,3,50.47,2.5,2.45,144.37,137.06,7.31,51.3,2.23,2.11,334,350,16,8.45,90.95,99.4
"STL","2011-2012",82,3843.48,3574,3164,410,53.04,55.79,49.39,134,101,33,57.02,2.09,1.58,146.56,121.5,25.06,54.67,2.29,1.9,315,305,-10,6.97,93.9,100.87
"STL","2012-2013",48,2269.53,1949,1784,165,52.21,51.53,47.16,82,76,6,51.9,2.17,2.01,72.96,71.14,1.82,50.63,1.93,1.88,167,178,11,7.87,91.5,99.37
"STL","2013-2014",82,3836.95,3550,3129,421,53.15,55.51,48.93,158,127,31,55.44,2.47,1.99,139.76,118.23,21.53,54.17,2.19,1.85,315,316,1,8.55,92.25,100.8
"STL","2014-2015",82,3938.2,3603,3360,243,51.74,54.89,51.19,161,134,27,54.58,2.45,2.04,145,128.08,16.92,53.1,2.21,1.95,292,281,-11,8.19,92.31,100.49
"STL","2015-2016",82,3906.71,3615,3346,269,51.93,55.52,51.39,139,124,15,52.85,2.13,1.9,145.14,133.25,11.89,52.14,2.23,2.05,273,247,-26,7.04,93.15,100.19
"STL","2016-2017",82,3942.63,3413,3389,24,50.18,51.94,51.57,154,137,17,52.92,2.34,2.08,132.78,129.73,3.05,50.58,2.02,1.97,253,242,-11,8.4,92.38,100.78
"STL","2017-2018",82,3989.82,3896,3636,260,51.73,58.59,54.68,150,137,13,52.26,2.26,2.06,144.89,136.67,8.22,51.46,2.18,2.06,218,239,21,7.17,92.87,100.04
"STL","2018-2019",82,3972.17,3701,3487,214,51.49,55.9,52.67,166,144,22,53.55,2.51,2.18,160.32,137.99,22.33,53.74,2.42,2.08,218,220,2,8.13,92.21,100.34
"T.B","2007-2008",79,3630.55,3018,3083,-65,49.47,49.88,50.95,132,166,-34,44.3,2.18,2.74,117.85,122.72,-4.87,48.99,1.95,2.03,291,270,-21,7.92,89.91,97.83
"T.B","2008-2009",82,3581.3,2957,3243,-286,47.69,49.54,54.33,128,144,-16,47.06,2.14,2.41,119.74,128.15,-8.41,48.3,2.01,2.15,380,322,-58,7.68,92.11,99.8
"T.B","2009-2010",82,3666.72,3034,3337,-303,47.62,49.65,54.6,132,156,-24,45.83,2.16,2.55,122.93,139.58,-16.65,46.83,2.01,2.28,386,377,-9,7.8,91.52,99.32
"T.B","2010-2011",82,3753.95,3568,3310,258,51.88,57.03,52.9,155,149,6,50.99,2.48,2.38,149.69,119.93,29.76,55.52,2.39,1.92,287,320,33,7.92,91.24,99.16
"T.B","2011-2012",82,3904.18,3264,3635,-371,47.31,50.16,55.86,169,182,-13,48.15,2.6,2.8,131.39,145.81,-14.42,47.4,2.02,2.24,271,257,-14,9.73,90.34,100.07
"T.B","2012-2013",48,2281.17,1921,2150,-229,47.19,50.53,56.55,102,98,4,51,2.68,2.58,77.25,81.45,-4.2,48.68,2.03,2.14,178,187,9,9.71,91.43,101.13
"T.B","2013-2014",82,3882.4,3556,3417,139,51,54.96,52.81,151,128,23,54.12,2.33,1.98,135.31,130.92,4.39,50.82,2.09,2.02,279,277,-2,7.81,92.87,100.67
"T.B","2014-2015",82,3833.55,3576,3167,409,53.03,55.97,49.57,176,135,41,56.59,2.75,2.11,143.37,119.1,24.27,54.62,2.24,1.86,259,284,25,9.03,91.92,100.95
"T.B","2015-2016",82,3824.63,3555,3257,298,52.19,55.77,51.1,147,126,21,53.85,2.31,1.98,126.77,119.86,6.91,51.4,1.99,1.88,273,293,20,7.87,92.9,100.77
"T.B","2016-2017",82,3906.7,3597,3419,178,51.27,55.24,52.51,140,145,-5,49.12,2.15,2.23,138.22,135.6,2.62,50.48,2.12,2.08,283,293,10,7.38,92.4,99.78
"T.B","2017-2018",82,3888.38,3865,3622,243,51.62,59.64,55.89,195,146,49,57.18,3.01,2.25,154.87,138.67,16.2,52.76,2.39,2.14,267,268,1,9.35,92.93,102.28
"T.B","2018-2019",82,3913.18,3823,3591,232,51.56,58.62,55.06,205,157,48,56.63,3.14,2.41,156.76,140.86,15.9,52.67,2.4,2.16,263,263,0,9.76,92.17,101.93
"TOR","2007-2008",78,3342.16,3122,2926,196,51.62,56.05,52.53,140,139,1,50.18,2.51,2.5,132.37,127.33,5.04,50.97,2.38,2.29,289,304,15,8.38,90.96,99.33
"TOR","2008-2009",81,3705.77,3577,3542,35,50.25,57.92,57.35,155,176,-21,46.83,2.51,2.85,143.22,148.1,-4.88,49.16,2.32,2.4,334,347,13,8.27,90.21,98.48
